愛撫,Caress
クンニ,Cunnilingus
フェラする,Do Blowjob
指挿れ,Fingering
アナル舐め,Rim Job
アナル愛撫,Anal Caress
胸愛撫,Breast Caress
乳首責め,Nipple Tease
秘貝開帳,Spread Labia
自慰,Masturbation
乳首吸い,Nipple Sucking
乳首吸わせ,Get Nipple Sucking

キスする,Kiss
何もしない,Do Nothing

ローター,Rotor
Ｅマッサージャ,Electric Massager
クリキャップ,Clit Cap
バイブ,Vibrator
アナルバイブ,Anal Vibrator
アナルビーズ,Anal Beads
ニプルキャップ,Nipple Cap
搾乳機,Milker

正常位,Missionary
後背位,Doggy Style
正常位アナル,Anal Missionary
後背位アナル,Anal Doggy Style
逆レイプ,Reverse Rape
騎乗位,Cowgirl
騎乗位アナル,Anal Cowgirl
対面座位,Lotus Position
背面座位,Lotus From Back
対面座位アナル,Anal Lotus
背面座位アナル,Anal Lotus From Back
二穴挿し,Double Penetration
二穴挿しされる,Get Double Penetration

挿入Ｇスポット責め,Insertion & G Spot Tease
挿入子宮口責め,Insertion & Cervix Tease
Ｓ状結腸責め,Sigmoid Colon Tease
膣裏責め,Tease Vagina From Back
小人オナホ,Inchling Onahole

手淫,Handjob
フェラチオ,Blowjob
パイズリ,Titjob
素股,Thighjob
泡踊り,Foam Play
足コキ,Footjob

アナル愛撫される,Get Anal Caress
アナル舐めされる,Get Rim Job
Ａ正常位される,Get Anal Missionary
Ａ後背位される,Get Anal Doggy
Ａ騎乗位する,Do Anal Cowgirl
愛撫される,Be Caressed
クンニされる,Get Cunnilingus
正常位される,Get Missionary
後背位される,Get Doggy
騎乗位する,Do Cowgirl

スパンキング,Spanking
鞭,Whip
蝋燭,Candle
針,Needle
アイマスク,Blindfold
縄,Bind Hands

クンニ強制,Forced Cunnilingus
貝合わせ,Tribadism
足コキする,Do Footjob
手淫する,Do Handjob
乳の揉み合い,Breast Press

イラマチオ,Deepthroat
フィストファック,Fisting
アナルフィスト,Anal Fisting
両穴フィスト,Double Fisting
放尿,Urination
アナル奉仕,Anal Service
浣腸,Enema
拡張バルーン,Expansion Balloon
アナル電極,Anal Electrode
膣鏡,Vaginal Speculum

膣内観察,Vaginal Observation

ローション,Lotion
媚薬,Aphrodisiac
利尿剤,Diuretic
ビデオ撮影,Video Recording
シャワー,Shower
新妻プレイ,Apron Play

上半身上着脱衣,Upper Body Undressing
下半身上着脱衣,Lower Body Undressing
上半身下着脱衣,Remove Upper Body Underwear
下半身下着脱衣,Remove Lower Body Underwear

会話,Conversation
お茶を淹れる,Serve Tea
スキンシップ,Skinship
尻を撫でる,Butt Caress
抱き付く,Embrace
クリ愛撫,Clit Caress

押し倒される,Get Pushed Down
押し倒す,Push Down
連れ出す/離れる,Lead Around
告白する,Confess
邪魔しない,Keep Still
なすがまま,Be At Mercy

もがく,Struggle
逃げる,Run Away

移動,Move
コレクション,Collection
就寝,Go To Bed
休憩,Rest
覗く,Peek
においを嗅ぐ,Take A Sniff
掃除,Cleaning
戦闘訓練,Combat Training
勉強,Study
料理,Make A Meal
食事,Eat
食事をふるまう,Serve A Meal
自慰する,Masturbate
撃破する,Fight
鍵を購入する,Purchase The Key
貞操帯を外して,Remove Chastity Belt

妖精メイドと話す,Speak With Fairy Maid
妖精を探す,Search For Fairy

着替える,Change Clothes
撮影,Take A Picture

カメラ設置,Install Camera
カメラ撤去,Remove Camera
映像確認,Check Video

脱走する,Escape
訪問者を誘う,Seduce Visitor
訪問者を案内する,Lead Visitor Around
訪問者と別行動する,Cancel Visitor Accompanying
うろつく,Wander Around
訪問者と添い寝,Accompany Visitor
セルフフェラ,Autofellatio

外出する,Go Out

Eマッサージャ,Electric Massager
オナホール,Onahole